Location,What,Value,Unit
Driver,kernel_time,0.000141658,second
GPU[1].CommandProcessor,kernel_time,0.000141656,second
GPU[1].SA[0].CU[0],cu_inst_count,68664.0,count
GPU[1].SA[0].CU[0],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[0].CU[0],simd_inst_count,57880.0,count
GPU[1].SA[0].CU[0],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[0].CU[1],cu_inst_count,68664.0,count
GPU[1].SA[0].CU[1],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[0].CU[1],simd_inst_count,57880.0,count
GPU[1].SA[0].CU[1],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[0].CU[2],cu_inst_count,68664.0,count
GPU[1].SA[0].CU[2],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[0].CU[2],simd_inst_count,57880.0,count
GPU[1].SA[0].CU[2],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[0].CU[3],cu_inst_count,68664.0,count
GPU[1].SA[0].CU[3],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[0].CU[3],simd_inst_count,57880.0,count
GPU[1].SA[0].CU[3],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[1].CU[0],cu_inst_count,68664.0,count
GPU[1].SA[1].CU[0],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[1].CU[0],simd_inst_count,57880.0,count
GPU[1].SA[1].CU[0],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[1].CU[1],cu_inst_count,68664.0,count
GPU[1].SA[1].CU[1],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[1].CU[1],simd_inst_count,57880.0,count
GPU[1].SA[1].CU[1],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[1].CU[2],cu_inst_count,68664.0,count
GPU[1].SA[1].CU[2],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[1].CU[2],simd_inst_count,57880.0,count
GPU[1].SA[1].CU[2],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[1].CU[3],cu_inst_count,68664.0,count
GPU[1].SA[1].CU[3],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[1].CU[3],simd_inst_count,57880.0,count
GPU[1].SA[1].CU[3],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[2].CU[0],cu_inst_count,68664.0,count
GPU[1].SA[2].CU[0],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[2].CU[0],simd_inst_count,57880.0,count
GPU[1].SA[2].CU[0],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[2].CU[1],cu_inst_count,68664.0,count
GPU[1].SA[2].CU[1],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[2].CU[1],simd_inst_count,57880.0,count
GPU[1].SA[2].CU[1],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[2].CU[2],cu_inst_count,68664.0,count
GPU[1].SA[2].CU[2],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[2].CU[2],simd_inst_count,57880.0,count
GPU[1].SA[2].CU[2],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[2].CU[3],cu_inst_count,68664.0,count
GPU[1].SA[2].CU[3],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[2].CU[3],simd_inst_count,57880.0,count
GPU[1].SA[2].CU[3],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[3].CU[0],cu_inst_count,68664.0,count
GPU[1].SA[3].CU[0],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[3].CU[0],simd_inst_count,57880.0,count
GPU[1].SA[3].CU[0],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[3].CU[1],cu_inst_count,68664.0,count
GPU[1].SA[3].CU[1],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[3].CU[1],simd_inst_count,57880.0,count
GPU[1].SA[3].CU[1],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[3].CU[2],cu_inst_count,68664.0,count
GPU[1].SA[3].CU[2],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[3].CU[2],simd_inst_count,57880.0,count
GPU[1].SA[3].CU[2],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[3].CU[3],cu_inst_count,68664.0,count
GPU[1].SA[3].CU[3],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[3].CU[3],simd_inst_count,57880.0,count
GPU[1].SA[3].CU[3],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[4].CU[0],cu_inst_count,68664.0,count
GPU[1].SA[4].CU[0],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[4].CU[0],simd_inst_count,57880.0,count
GPU[1].SA[4].CU[0],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[4].CU[1],cu_inst_count,68664.0,count
GPU[1].SA[4].CU[1],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[4].CU[1],simd_inst_count,57880.0,count
GPU[1].SA[4].CU[1],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[4].CU[2],cu_inst_count,68664.0,count
GPU[1].SA[4].CU[2],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[4].CU[2],simd_inst_count,57880.0,count
GPU[1].SA[4].CU[2],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[4].CU[3],cu_inst_count,68664.0,count
GPU[1].SA[4].CU[3],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[4].CU[3],simd_inst_count,57880.0,count
GPU[1].SA[4].CU[3],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[5].CU[0],cu_inst_count,68664.0,count
GPU[1].SA[5].CU[0],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[5].CU[0],simd_inst_count,57880.0,count
GPU[1].SA[5].CU[0],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[5].CU[1],cu_inst_count,68664.0,count
GPU[1].SA[5].CU[1],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[5].CU[1],simd_inst_count,57880.0,count
GPU[1].SA[5].CU[1],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[5].CU[2],cu_inst_count,68664.0,count
GPU[1].SA[5].CU[2],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[5].CU[2],simd_inst_count,57880.0,count
GPU[1].SA[5].CU[2],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[5].CU[3],cu_inst_count,68664.0,count
GPU[1].SA[5].CU[3],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[5].CU[3],simd_inst_count,57880.0,count
GPU[1].SA[5].CU[3],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[6].CU[0],cu_inst_count,68664.0,count
GPU[1].SA[6].CU[0],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[6].CU[0],simd_inst_count,57880.0,count
GPU[1].SA[6].CU[0],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[6].CU[1],cu_inst_count,68664.0,count
GPU[1].SA[6].CU[1],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[6].CU[1],simd_inst_count,57880.0,count
GPU[1].SA[6].CU[1],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[6].CU[2],cu_inst_count,68664.0,count
GPU[1].SA[6].CU[2],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[6].CU[2],simd_inst_count,57880.0,count
GPU[1].SA[6].CU[2],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[6].CU[3],cu_inst_count,68664.0,count
GPU[1].SA[6].CU[3],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[6].CU[3],simd_inst_count,57880.0,count
GPU[1].SA[6].CU[3],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[7].CU[0],cu_inst_count,68664.0,count
GPU[1].SA[7].CU[0],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[7].CU[0],simd_inst_count,57880.0,count
GPU[1].SA[7].CU[0],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[7].CU[1],cu_inst_count,68664.0,count
GPU[1].SA[7].CU[1],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[7].CU[1],simd_inst_count,57880.0,count
GPU[1].SA[7].CU[1],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[7].CU[2],cu_inst_count,68664.0,count
GPU[1].SA[7].CU[2],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[7].CU[2],simd_inst_count,57880.0,count
GPU[1].SA[7].CU[2],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[7].CU[3],cu_inst_count,68664.0,count
GPU[1].SA[7].CU[3],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[7].CU[3],simd_inst_count,57880.0,count
GPU[1].SA[7].CU[3],simd_CPI,2.44744298548722,cycles/inst
