metric,baseline,stride
total_demand_reads,5643.0,5558.0
demand_read_hits,1396.0,1324.0
demand_read_misses,4107.0,4077.0
demand_cache_hit_rate,0.2536798110121752,0.2451397889279763
demand_cache_miss_rate,0.7463201889878248,0.7548602110720237
demand_read_mshr_hits,140.0,157.0
demand_mshr_hit_rate,0.03296444549093478,0.037080774681152576
demand_mshr_miss_rate,0.9670355545090652,0.9629192253188474
prefetch_requests,0.0,6540.0
prefetch_cache_hits,0.0,2871.0
prefetch_mshr_hits,0.0,81.0
prefetch_misses,0.0,3588.0
prefetch_outcomes,0.0,6540.0
prefetch_unaccounted,0.0,0.0
prefetch_hits,0.0,13.0
prefetch_usage_rate,,0.001987767584097859
coverage,0.0,0.003178484107579462
cache_pollution,0.0,0.0
pollution_rate,,0.0
