Location,What,Value,Unit
Driver,kernel_time,1.0746e-05,second
GPU[1].CommandProcessor,kernel_time,1.0744e-05,second
GPU[1].SA[0].CU[0],cu_inst_count,6272.0,count
GPU[1].SA[0].CU[0],cu_CPI,1.71332908163265,cycles/inst
GPU[1].SA[0].CU[0],simd_inst_count,4016.0,count
GPU[1].SA[0].CU[0],simd_CPI,2.675796812749,cycles/inst
GPU[1].SA[0].CU[1],cu_inst_count,6272.0,count
GPU[1].SA[0].CU[1],cu_CPI,1.71332908163265,cycles/inst
GPU[1].SA[0].CU[1],simd_inst_count,4016.0,count
GPU[1].SA[0].CU[1],simd_CPI,2.675796812749,cycles/inst
GPU[1].SA[0].CU[2],cu_inst_count,6272.0,count
GPU[1].SA[0].CU[2],cu_CPI,1.71332908163265,cycles/inst
GPU[1].SA[0].CU[2],simd_inst_count,4016.0,count
GPU[1].SA[0].CU[2],simd_CPI,2.675796812749,cycles/inst
GPU[1].SA[0].CU[3],cu_inst_count,6272.0,count
GPU[1].SA[0].CU[3],cu_CPI,1.71332908163265,cycles/inst
GPU[1].SA[0].CU[3],simd_inst_count,4016.0,count
GPU[1].SA[0].CU[3],simd_CPI,2.675796812749,cycles/inst
GPU[1].SA[1].CU[0],cu_inst_count,6272.0,count
GPU[1].SA[1].CU[0],cu_CPI,1.71332908163265,cycles/inst
GPU[1].SA[1].CU[0],simd_inst_count,4016.0,count
GPU[1].SA[1].CU[0],simd_CPI,2.675796812749,cycles/inst
GPU[1].SA[1].CU[1],cu_inst_count,6272.0,count
GPU[1].SA[1].CU[1],cu_CPI,1.71332908163265,cycles/inst
GPU[1].SA[1].CU[1],simd_inst_count,4016.0,count
GPU[1].SA[1].CU[1],simd_CPI,2.675796812749,cycles/inst
GPU[1].SA[1].CU[2],cu_inst_count,6272.0,count
GPU[1].SA[1].CU[2],cu_CPI,1.71332908163265,cycles/inst
GPU[1].SA[1].CU[2],simd_inst_count,4016.0,count
GPU[1].SA[1].CU[2],simd_CPI,2.675796812749,cycles/inst
GPU[1].SA[1].CU[3],cu_inst_count,6272.0,count
GPU[1].SA[1].CU[3],cu_CPI,1.71332908163265,cycles/inst
GPU[1].SA[1].CU[3],simd_inst_count,4016.0,count
GPU[1].SA[1].CU[3],simd_CPI,2.675796812749,cycles/inst
GPU[1].SA[2].CU[0],cu_inst_count,6272.0,count
GPU[1].SA[2].CU[0],cu_CPI,1.71332908163265,cycles/inst
GPU[1].SA[2].CU[0],simd_inst_count,4016.0,count
GPU[1].SA[2].CU[0],simd_CPI,2.675796812749,cycles/inst
GPU[1].SA[2].CU[1],cu_inst_count,6272.0,count
GPU[1].SA[2].CU[1],cu_CPI,1.71332908163265,cycles/inst
GPU[1].SA[2].CU[1],simd_inst_count,4016.0,count
GPU[1].SA[2].CU[1],simd_CPI,2.675796812749,cycles/inst
GPU[1].SA[2].CU[2],cu_inst_count,6272.0,count
GPU[1].SA[2].CU[2],cu_CPI,1.71332908163265,cycles/inst
GPU[1].SA[2].CU[2],simd_inst_count,4016.0,count
GPU[1].SA[2].CU[2],simd_CPI,2.675796812749,cycles/inst
GPU[1].SA[2].CU[3],cu_inst_count,6272.0,count
GPU[1].SA[2].CU[3],cu_CPI,1.71332908163265,cycles/inst
GPU[1].SA[2].CU[3],simd_inst_count,4016.0,count
GPU[1].SA[2].CU[3],simd_CPI,2.675796812749,cycles/inst
GPU[1].SA[3].CU[0],cu_inst_count,6272.0,count
GPU[1].SA[3].CU[0],cu_CPI,1.71332908163265,cycles/inst
GPU[1].SA[3].CU[0],simd_inst_count,4016.0,count
GPU[1].SA[3].CU[0],simd_CPI,2.675796812749,cycles/inst
GPU[1].SA[3].CU[1],cu_inst_count,6272.0,count
GPU[1].SA[3].CU[1],cu_CPI,1.71332908163265,cycles/inst
GPU[1].SA[3].CU[1],simd_inst_count,4016.0,count
GPU[1].SA[3].CU[1],simd_CPI,2.675796812749,cycles/inst
GPU[1].SA[3].CU[2],cu_inst_count,6272.0,count
GPU[1].SA[3].CU[2],cu_CPI,1.71332908163265,cycles/inst
GPU[1].SA[3].CU[2],simd_inst_count,4016.0,count
GPU[1].SA[3].CU[2],simd_CPI,2.675796812749,cycles/inst
GPU[1].SA[3].CU[3],cu_inst_count,6272.0,count
