Location,What,Value,Unit
Driver,kernel_time,3.5326e-05,second
GPU[1].CommandProcessor,kernel_time,3.5324e-05,second
GPU[1].SA[0].CU[0],cu_inst_count,4398.0,count
GPU[1].SA[0].CU[0],cu_CPI,8.03228740336517,cycles/inst
GPU[1].SA[0].CU[0],simd_inst_count,3670.0,count
GPU[1].SA[0].CU[0],simd_CPI,9.62561307901907,cycles/inst
GPU[1].SA[0].CU[1],cu_inst_count,4398.0,count
GPU[1].SA[0].CU[1],cu_CPI,8.03228740336517,cycles/inst
GPU[1].SA[0].CU[1],simd_inst_count,3670.0,count
GPU[1].SA[0].CU[1],simd_CPI,9.62561307901907,cycles/inst
GPU[1].SA[0].CU[2],cu_inst_count,4398.0,count
GPU[1].SA[0].CU[2],cu_CPI,8.03228740336517,cycles/inst
GPU[1].SA[0].CU[2],simd_inst_count,3670.0,count
GPU[1].SA[0].CU[2],simd_CPI,9.62561307901907,cycles/inst
GPU[1].SA[0].CU[3],cu_inst_count,4398.0,count
GPU[1].SA[0].CU[3],cu_CPI,8.03228740336517,cycles/inst
GPU[1].SA[0].CU[3],simd_inst_count,3670.0,count
GPU[1].SA[0].CU[3],simd_CPI,9.62561307901907,cycles/inst
GPU[1].SA[1].CU[0],cu_inst_count,4398.0,count
GPU[1].SA[1].CU[0],cu_CPI,8.03228740336517,cycles/inst
GPU[1].SA[1].CU[0],simd_inst_count,3670.0,count
GPU[1].SA[1].CU[0],simd_CPI,9.62561307901907,cycles/inst
GPU[1].SA[1].CU[1],cu_inst_count,4398.0,count
GPU[1].SA[1].CU[1],cu_CPI,8.03228740336517,cycles/inst
GPU[1].SA[1].CU[1],simd_inst_count,3670.0,count
GPU[1].SA[1].CU[1],simd_CPI,9.62561307901907,cycles/inst
GPU[1].SA[1].CU[2],cu_inst_count,4398.0,count
GPU[1].SA[1].CU[2],cu_CPI,8.03228740336517,cycles/inst
GPU[1].SA[1].CU[2],simd_inst_count,3670.0,count
GPU[1].SA[1].CU[2],simd_CPI,9.62561307901907,cycles/inst
GPU[1].SA[1].CU[3],cu_inst_count,4398.0,count
GPU[1].SA[1].CU[3],cu_CPI,8.03228740336517,cycles/inst
GPU[1].SA[1].CU[3],simd_inst_count,3670.0,count
GPU[1].SA[1].CU[3],simd_CPI,9.62561307901907,cycles/inst
GPU[1].SA[2].CU[0],cu_inst_count,4398.0,count
GPU[1].SA[2].CU[0],cu_CPI,8.03228740336517,cycles/inst
GPU[1].SA[2].CU[0],simd_inst_count,3670.0,count
GPU[1].SA[2].CU[0],simd_CPI,9.62561307901907,cycles/inst
GPU[1].SA[2].CU[1],cu_inst_count,4398.0,count
GPU[1].SA[2].CU[1],cu_CPI,8.03228740336517,cycles/inst
GPU[1].SA[2].CU[1],simd_inst_count,3670.0,count
GPU[1].SA[2].CU[1],simd_CPI,9.62561307901907,cycles/inst
GPU[1].SA[2].CU[2],cu_inst_count,4398.0,count
GPU[1].SA[2].CU[2],cu_CPI,8.03228740336517,cycles/inst
GPU[1].SA[2].CU[2],simd_inst_count,3670.0,count
GPU[1].SA[2].CU[2],simd_CPI,9.62561307901907,cycles/inst
GPU[1].SA[2].CU[3],cu_inst_count,4398.0,count
GPU[1].SA[2].CU[3],cu_CPI,8.03228740336517,cycles/inst
GPU[1].SA[2].CU[3],simd_inst_count,3670.0,count
GPU[1].SA[2].CU[3],simd_CPI,9.62561307901907,cycles/inst
GPU[1].SA[3].CU[0],cu_inst_count,4398.0,count
GPU[1].SA[3].CU[0],cu_CPI,8.03228740336517,cycles/inst
GPU[1].SA[3].CU[0],simd_inst_count,3670.0,count
GPU[1].SA[3].CU[0],simd_CPI,9.62561307901907,cycles/inst
GPU[1].SA[3].CU[1],cu_inst_count,4398.0,count
GPU[1].SA[3].CU[1],cu_CPI,8.03228740336517,cycles/inst
GPU[1].SA[3].CU[1],simd_inst_count,3670.0,count
GPU[1].SA[3].CU[1],simd_CPI,9.62561307901907,cycles/inst
GPU[1].SA[3].CU[2],cu_inst_count,4398.0,count
GPU[1].SA[3].CU[2],cu_CPI,8.03228740336517,cycles/inst
GPU[1].SA[3].CU[2],simd_inst_count,3670.0,count
GPU[1].SA[3].CU[2],simd_CPI,9.62561307901907,cycles/inst
GPU[1].SA[3].CU[3],cu_inst_count,4398.0,count
GPU[1].SA[3].CU[3],cu_CPI,8.03228740336517,cycles/inst
GPU[1].SA[3].CU[3],simd_inst_count,3670.0,count
GPU[1].SA[3].CU[3],simd_CPI,9.62561307901907,cycles/inst
GPU[1].SA[4].CU[0],cu_inst_count,0.0,count
GPU[1].SA[4].CU[0],cu_CPI,Inf,cycles/inst
GPU[1].SA[4].CU[0],simd_inst_count,0.0,count
GPU[1].SA[4].CU[0],simd_CPI,Inf,cycles/inst
GPU[1].SA[4].CU[1],cu_inst_count,0.0,count
GPU[1].SA[4].CU[1],cu_CPI,Inf,cycles/inst
GPU[1].SA[4].CU[1],simd_inst_count,0.0,count
GPU[1].SA[4].CU[1],simd_CPI,Inf,cycles/inst
GPU[1].SA[4].CU[2],cu_inst_count,0.0,count
GPU[1].SA[4].CU[2],cu_CPI,Inf,cycles/inst
GPU[1].SA[4].CU[2],simd_inst_count,0.0,count
GPU[1].SA[4].CU[2],simd_CPI,Inf,cycles/inst
GPU[1].SA[4].CU[3],cu_inst_count,0.0,count
GPU[1].SA[4].CU[3],cu_CPI,Inf,cycles/inst
GPU[1].SA[4].CU[3],simd_inst_count,0.0,count
GPU[1].SA[4].CU[3],simd_CPI,Inf,cycles/inst
GPU[1].SA[5].CU[0],cu_inst_count,0.0,count
GPU[1].SA[5].CU[0],cu_CPI,Inf,cycles/inst
GPU[1].SA[5].CU[0],simd_inst_count,0.0,count
GPU[1].SA[5].CU[0],simd_CPI,Inf,cycles/inst
GPU[1].SA[5].CU[1],cu_inst_count,0.0,count
GPU[1].SA[5].CU[1],cu_CPI,Inf,cycles/inst
GPU[1].SA[5].CU[1],simd_inst_count,0.0,count
GPU[1].SA[5].CU[1],simd_CPI,Inf,cycles/inst
GPU[1].SA[5].CU[2],cu_inst_count,0.0,count
GPU[1].SA[5].CU[2],cu_CPI,Inf,cycles/inst
GPU[1].SA[5].CU[2],simd_inst_count,0.0,count
GPU[1].SA[5].CU[2],simd_CPI,Inf,cycles/inst
GPU[1].SA[5].CU[3],cu_inst_count,0.0,count
GPU[1].SA[5].CU[3],cu_CPI,Inf,cycles/inst
GPU[1].SA[5].CU[3],simd_inst_count,0.0,count
GPU[1].SA[5].CU[3],simd_CPI,Inf,cycles/inst
GPU[1].SA[6].CU[0],cu_inst_count,0.0,count
GPU[1].SA[6].CU[0],cu_CPI,Inf,cycles/inst
GPU[1].SA[6].CU[0],simd_inst_count,0.0,count
GPU[1].SA[6].CU[0],simd_CPI,Inf,cycles/inst
GPU[1].SA[6].CU[1],cu_inst_count,0.0,count
GPU[1].SA[6].CU[1],cu_CPI,Inf,cycles/inst
GPU[1].SA[6].CU[1],simd_inst_count,0.0,count
GPU[1].SA[6].CU[1],simd_CPI,Inf,cycles/inst
GPU[1].SA[6].CU[2],cu_inst_count,0.0,count
