metric,baseline,stride
total_demand_reads,8312.0,8312.0
demand_read_hits,16.0,936.0
demand_read_misses,2074.0,1841.0
demand_cache_hit_rate,0.007655502392344498,0.33705437522506304
demand_cache_miss_rate,0.9923444976076555,0.662945624774937
demand_read_mshr_hits,6222.0,5535.0
demand_mshr_hit_rate,0.75,0.7504067245119306
demand_mshr_miss_rate,0.25,0.24959327548806942
prefetch_requests,0.0,2573.0
prefetch_cache_hits,0.0,4.0
prefetch_mshr_hits,0.0,1457.0
prefetch_misses,0.0,1112.0
prefetch_outcomes,0.0,2573.0
prefetch_unaccounted,0.0,0.0
prefetch_hits,0.0,227.0
prefetch_usage_rate,,0.08822386319471434
coverage,0.0,0.10976789168278529
cache_pollution,0.0,0.0
pollution_rate,,0.0
