Location,What,Value,Unit
Driver,kernel_time,0.000145252,second
GPU[1].CommandProcessor,kernel_time,0.00014525,second
GPU[1].SA[0].CU[0],cu_inst_count,68664.0,count
GPU[1].SA[0].CU[0],cu_CPI,2.11540253990446,cycles/inst
GPU[1].SA[0].CU[0],simd_inst_count,57880.0,count
GPU[1].SA[0].CU[0],simd_CPI,2.50953697304768,cycles/inst
GPU[1].SA[0].CU[1],cu_inst_count,68664.0,count
GPU[1].SA[0].CU[1],cu_CPI,2.11540253990446,cycles/inst
GPU[1].SA[0].CU[1],simd_inst_count,57880.0,count
GPU[1].SA[0].CU[1],simd_CPI,2.50953697304768,cycles/inst
GPU[1].SA[0].CU[2],cu_inst_count,68664.0,count
GPU[1].SA[0].CU[2],cu_CPI,2.11540253990446,cycles/inst
GPU[1].SA[0].CU[2],simd_inst_count,57880.0,count
GPU[1].SA[0].CU[2],simd_CPI,2.50953697304768,cycles/inst
GPU[1].SA[0].CU[3],cu_inst_count,68664.0,count
GPU[1].SA[0].CU[3],cu_CPI,2.11540253990446,cycles/inst
GPU[1].SA[0].CU[3],simd_inst_count,57880.0,count
GPU[1].SA[0].CU[3],simd_CPI,2.50953697304768,cycles/inst
GPU[1].SA[1].CU[0],cu_inst_count,68664.0,count
GPU[1].SA[1].CU[0],cu_CPI,2.11540253990446,cycles/inst
GPU[1].SA[1].CU[0],simd_inst_count,57880.0,count
GPU[1].SA[1].CU[0],simd_CPI,2.50953697304768,cycles/inst
GPU[1].SA[1].CU[1],cu_inst_count,68664.0,count
GPU[1].SA[1].CU[1],cu_CPI,2.11540253990446,cycles/inst
GPU[1].SA[1].CU[1],simd_inst_count,57880.0,count
GPU[1].SA[1].CU[1],simd_CPI,2.50953697304768,cycles/inst
GPU[1].SA[1].CU[2],cu_inst_count,68664.0,count
GPU[1].SA[1].CU[2],cu_CPI,2.11540253990446,cycles/inst
GPU[1].SA[1].CU[2],simd_inst_count,57880.0,count
