Component,Port,Connection
MMU,MMU.Top,InterDeviceConn
MMU,MMU.Control,
Driver,Driver.GPU,InterDeviceConn
GPU[1].DRAM[0],GPU[1].DRAM[0].Top,GPU[1].L2ToDRAM
GPU[1].DRAM[0],GPU[1].DRAM[0].Control,GPU[1].InternalConn
GPU[1].DRAM[1],GPU[1].DRAM[1].Top,GPU[1].L2ToDRAM
GPU[1].DRAM[1],GPU[1].DRAM[1].Control,GPU[1].InternalConn
GPU[1].DRAM[2],GPU[1].DRAM[2].Top,GPU[1].L2ToDRAM
GPU[1].DRAM[2],GPU[1].DRAM[2].Control,GPU[1].InternalConn
GPU[1].DRAM[3],GPU[1].DRAM[3].Top,GPU[1].L2ToDRAM
GPU[1].DRAM[3],GPU[1].DRAM[3].Control,GPU[1].InternalConn
GPU[1].DRAM[4],GPU[1].DRAM[4].Top,GPU[1].L2ToDRAM
GPU[1].DRAM[4],GPU[1].DRAM[4].Control,GPU[1].InternalConn
GPU[1].DRAM[5],GPU[1].DRAM[5].Top,GPU[1].L2ToDRAM
GPU[1].DRAM[5],GPU[1].DRAM[5].Control,GPU[1].InternalConn
GPU[1].DRAM[6],GPU[1].DRAM[6].Top,GPU[1].L2ToDRAM
GPU[1].DRAM[6],GPU[1].DRAM[6].Control,GPU[1].InternalConn
GPU[1].DRAM[7],GPU[1].DRAM[7].Top,GPU[1].L2ToDRAM
GPU[1].DRAM[7],GPU[1].DRAM[7].Control,GPU[1].InternalConn
GPU[1].DRAM[8],GPU[1].DRAM[8].Top,GPU[1].L2ToDRAM
GPU[1].DRAM[8],GPU[1].DRAM[8].Control,GPU[1].InternalConn
GPU[1].DRAM[9],GPU[1].DRAM[9].Top,GPU[1].L2ToDRAM
GPU[1].DRAM[9],GPU[1].DRAM[9].Control,GPU[1].InternalConn
GPU[1].DRAM[10],GPU[1].DRAM[10].Top,GPU[1].L2ToDRAM
GPU[1].DRAM[10],GPU[1].DRAM[10].Control,GPU[1].InternalConn
GPU[1].DRAM[11],GPU[1].DRAM[11].Top,GPU[1].L2ToDRAM
GPU[1].DRAM[11],GPU[1].DRAM[11].Control,GPU[1].InternalConn
GPU[1].DRAM[12],GPU[1].DRAM[12].Top,GPU[1].L2ToDRAM
GPU[1].DRAM[12],GPU[1].DRAM[12].Control,GPU[1].InternalConn
GPU[1].DRAM[13],GPU[1].DRAM[13].Top,GPU[1].L2ToDRAM
GPU[1].DRAM[13],GPU[1].DRAM[13].Control,GPU[1].InternalConn
GPU[1].DRAM[14],GPU[1].DRAM[14].Top,GPU[1].L2ToDRAM
GPU[1].DRAM[14],GPU[1].DRAM[14].Control,GPU[1].InternalConn
GPU[1].DRAM[15],GPU[1].DRAM[15].Top,GPU[1].L2ToDRAM
GPU[1].DRAM[15],GPU[1].DRAM[15].Control,GPU[1].InternalConn
GPU[1].L2Cache[0],GPU[1].L2Cache[0].Top,GPU[1].L1ToL2
GPU[1].L2Cache[0],GPU[1].L2Cache[0].Bottom,GPU[1].L2ToDRAM
GPU[1].L2Cache[0],GPU[1].L2Cache[0].Control,GPU[1].InternalConn
GPU[1].L2Cache[1],GPU[1].L2Cache[1].Top,GPU[1].L1ToL2
GPU[1].L2Cache[1],GPU[1].L2Cache[1].Bottom,GPU[1].L2ToDRAM
GPU[1].L2Cache[1],GPU[1].L2Cache[1].Control,GPU[1].InternalConn
GPU[1].L2Cache[2],GPU[1].L2Cache[2].Top,GPU[1].L1ToL2
GPU[1].L2Cache[2],GPU[1].L2Cache[2].Bottom,GPU[1].L2ToDRAM
GPU[1].L2Cache[2],GPU[1].L2Cache[2].Control,GPU[1].InternalConn
GPU[1].L2Cache[3],GPU[1].L2Cache[3].Top,GPU[1].L1ToL2
GPU[1].L2Cache[3],GPU[1].L2Cache[3].Bottom,GPU[1].L2ToDRAM
GPU[1].L2Cache[3],GPU[1].L2Cache[3].Control,GPU[1].InternalConn
